;name;country_code;country;hobbies;education;hero;influence;philosophy;slug_game;game_year
6051;LOMBARDO Manuel;ITA;Italy;Marvel movies, cinema in general. Reading books by Murakami;Graduated in accounting;Judoka Rishod Sobirov (UZB), three-time Olympic -60kg bronze medallist (2008, 2012, 2016), three-time world championship medallist (two gold, one bronze);His family;"""Sic Parvis Magna"" is a Latin phrase that translates to ""Greatness from small beginnings"", ooften associated with the motto of the fictional character Nathan Drake from the video game series ""Uncharted.""";paris-2024;2024
6056;CARLINO Andrea;ITA;Italy;Painting;Graduated 2016 at Scientific high school at Liceo Einstein Turin;Footballer Cristiano Ronaldo (POR), won five Champions Leagues, seven league titles and five Ballon d’Or awards during his time at Manchester United, Real Madrid and Juventus. Won Euro 2016 with Portugal and is international football’s all-time top scorer and appearance maker;His mother;"""Never give up."" (Athlete, 5 Jul 2024)";paris-2024;2024
6057;PIRAS Matteo;ITA;Italy;Reading, playing any kind of sport, watching films and television series;Psychology graduate;Basketball player Michael Jordan (USA), six-time National Basketball Association (NBA) champion with the Chicago Bulls (1991-93, 1996-98), two-time Olympic gold medallist (1984, 1992).</p><p>Sprinter Pietro Mennea (ITA), three-time Olympic medallist (one gold, two bronze), five-time Olympian (1972, 1976, 1980, 1984, 1988), two-time 1983 World Championships medallist (4x100m relay silver, 200m bronze);"""Apart from my family the most important person for me is my mental coach, friend and mentor Marco Pacifico. He taught me to work on myself, to accept failure and to be with frustration, and above all to understand that there is no victory without these two things."" (Athlete, 4 Jun 2024)";"""Everybody wants to go to heaven but nobody wants to die."" (Athlete, 4 Jun 2024)";paris-2024;2024
6058;ESPOSITO Antonio;ITA;Italy;Taking walks and shopping;High school diploma, specialising in Economics with a focus on Administration, Finance, and Marketing, obtained in 2017;Judoka Fabio Basile (ITA), 2016 Olympic champion (-66kg), 2010 Youth Olympic bronze medallist (mixed team), 2016 European Championships bronze medallist;"""I have always been inspired by my best friend Fabio Basile (ITA), who won the Olympic gold medal at Rio 2016. I was there with him as his partner, and he made me experience unique emotions."" (Athlete, 21 Mar 2024)";"""If you don't live for something, you will die for nothing."" (Athlete, 21 Mar 2024)";paris-2024;2024
6060;RUSSO Savita;ITA;Italy;Going to the beach;Graduated from scientific high school in June 2024. (Athlete, 4 Jul 2024);Judoka Clarisse Agbegnenou (FRA), three-time Olympic medallist - two 2020 gold (mixed team, half middleweight 63kg) and one 2016 silver (half-middleweight 63kg). </p><p>Judoka Joshiro Maruyama (JPN), four-time world championship -66kg medallist (2019 and 2021 gold, 2022 and 2023 silver).</p><p>Judoka Toshihiko Koga (JPN), two-time Olympic medallist (1992 gold, 1996 silver), four-time world championship medallist (three gold, one bronze);"""My mother because she is the best and always supports me."" (Athlete, 20 Jun 2024)";"""Empty mind, present time in the absence of fears and desires."" (Athlete, 20 Jun 2024)";paris-2024;2024
6061;PALTRINIERI Gregorio;ITA;Italy;Watching basketball (New York Knicks), watching tennis (Rafael Nadal), architecture, design;Political Science at LUISS Guido Carli University, Rome (ITA);Swimmer Ian Thorpe (AUS), nine-time Olympic medallist (five gold, three silver, one bronze). 13-time world championships medallist (11 gold, one silver, one bronze). First person to win six golds at a single world championships (2001). Set 13 individual world records.</p><p>Swimmer Grant Hackett (AUS), seven-time Olympic medallist (three gold, three silver, one bronze), 19-time world championship medallist (10 gold, six silver, three bronze). </p><p>Basketball player Michael Jordan (USA), six-time National Basketball Association (NBA) champion with the Chicago Bulls (1991-93, 1996-98), and two-time Olympic gold medallist (1984, 1992).</p><p>Basketball player Kobe Bryant (USA), five-time National Basketball Association (NBA) champion with the Los Angeles Lakers (2000-02, 2009, 2010),  two-time Olympic champion (2008, 2012). Died in a helicopter crash in 2020;Coach Stefano Morini;"""Competitive malice is part of the game, but fairness must not fail, as well as respect for teammates and opponents."" (myInfo)";paris-2024;2024
6063;QUADARELLA Simona;ITA;Italy;Going to the cinema, music;Economics at Link Campus University (Rome, ITA);Her older sister Erica;Her father;"""What pushes me forward is the desire of victory. Not for the victory in itself but for what it makes me feel, a big emotion."" (myInfo)";paris-2024;2024
6079;del LUNGO Marco;ITA;Italy;Tennis;Studied Sports Science at San Raffaele University of Rome (ITA);Water polo player Goran Volarevic (CRO), 2004 Olympian, 2003 European Championships silver medallist;Coach Alessandro Bovo;"""I believe 90% of being a strong goalkeeper is in the head... It is necessary to remember the mistakes made in order to be ready when the same situation arises again."" (mfsport.net, 24 May 2020)";paris-2024;2024
6080;di FULVIO Francesco;ITA;Italy;Watching sports, spending time with friends, dancing, playing cards, going to the cinema, drawing;Studied Exercise Science;Water polo player Manuel Estiarte (ESP), two-time Olympic medallist (1996 gold, 1992 silver), six-time consecutive Olympian (1980-2000), IOC member (2000-2004), three-time world championship medallist (one gold, two bronze).</p><p>Motorcycle racer Valentino Rossi (ITA), seven-time world champion (2001-2005, 2008, 2009);His family;"""It is only with hard work that something important can be achieved."" (wpdworld.com)";paris-2024;2024
6089;VELOTTO Alessandro;ITA;Italy;Cooking, art, drawing;Graduated with a degree in Law from Pegaso Online University (Naples, ITA);Footballer Zlatan Ibrahimovic (SWE), a prolific striker who won 34 trophies including 14 league titles. He is Sweden’s all-time top scorer with 62 international goals in 122 matches;Coach Vincenzo Palmentieri;"""They'll tell you you're not enough. Prove them wrong. Will is power."" (Facebook page, 14 Apr 2021)";paris-2024;2024
6119;KLAMMERT David;CZE;Czechia;Sports, books, animals, adventures, friends, nature;Studied Sport and Conditioning;"Judoka Lukas Krpalek (CZE), two-time Olympic champion (2016 -100kg, 2020 +100kg); double world champion also in two weight categories.</p><p>Basketball player Kobe Bryant (USA), five-time National Basketball Association (NBA) champion with the Los Angeles Lakers (2000-02, 2009, 2010),  two-time Olympic champion (2008, 2012). Died in a helicopter crash in 2020. </p><p>""Lukas Krpalek, because he is an incredibly successful judoka, but also a great person with the right character. Kobe Bryant, because I loved his mindset and motivational speeches."" (Athlete, 4 Apr 2024)";"Personal coach, Marcel Frenstatsky. ""He helps me develop not only athletically but also as a person."" (Athlete, 4 Apr 2024)";"""Never let success get to your head and never let failure get to your heart."" (Athlete, 4 Apr 2024)";paris-2024;2024
6121;ZACHOVA Renata;CZE;Czechia;Building things from Lego;Graduated in 2019 from Gymnasium Cajkovskeho (CZE);"Judoka David Klammert (CZE), 2020 Olympian, two-time world championship team member (2017, 2022). </p><p>""Klammert is my idol as he is a hard worker."" (Athlete, 25 Apr 2024)";"Her family, and her coach. ""It's hard to say only one person. My family always helped me with everything, and my coach and his family also support me when I am so far from home."" (Athlete, 25 Apr 2024)";"""It's not about how hard you hit. It's about how hard you can get hit and keep moving forward, how much you can take and keep moving forward. That's how winning is done."" - Rocky Balboa";paris-2024;2024
