;name;country_code;country;hobbies;education;hero;influence;philosophy;slug_game;game_year
2402;JUN Woongtae;KOR;Korea;Meet friends to chat and drink coffee together, listen to music and go to the pet cafe with his dogs (corgis);Korea National Sport University (Seoul, KOR);"Modern pentathlete Andrey Moiseyev (RUS), two-time Olympic champion (2004, 2008), four-time world champion (team, relay) and 2005 bronze medallist (individual). ""It is very difficult to win two consecutive gold in Olympics, I respect his achievement and want to know how he prepared and what he thought at that great time."" (uipmworld.org, 27 May 2020)";"Motivated by his teammates who train with him. ""They stimulate me, which makes me more focused on the training. They are my important energy."" (issuu.com/gwangju_news, Sep 2022)</p><p>Especially motivated by his teammate, three-time Olympian Jung Jin-hwa (2012, 2016, 2020). ""While we were training together for a long time, I was able to learn everything from attitude to belief and self-management from him."" (uipmworld.org, 27 May 2020)";"""A great achievement starts from a little chance."" (myInfo)";paris-2024;2024
2415;TING Hua-Tien;TPE;Chinese Taipei;Drawing, writing, handicrafts, anime;Studied Physical Education at Fu Jen Catholic University (New Taipei, TPE);"Artistic gymnast Lee Chih-Kai (TPE), 2020 Olympic silver medallist (pommel horse), two-time world championship medallist (2019 silver, 2018 bronze).</p><p>Artistic gymnast Simone Biles (USA), seven-time Olympic medallist (four gold, one silver, two bronze); 30-time world championship medallist (23 gold, four silver, three bronze)";Her coach, Tsai Heng-Cheng;"""I like gymnastics because I can do things that ordinary people can't do."" (chinatimes.com, 14 Sep 2022)";paris-2024;2024
2493;MAHARANI Maryam March;INA;Indonesia;Walking, eating, exercise;Sports Coaching Study Programme at Jakarta State University (INA);Judoka Uta Abe (JPN), two-time 2020 Olympic medallist (-52kg gold, mixed team silver), four-time world champion (2018, 2019, 2022, 2023), 2017 World Junior champion;Her father, her mother, and her coach;"""Praying while working, working while praying."" (Athlete, 9 Jun 2024)";paris-2024;2024
2496;ROENNINGEN Marie;NOR;Norway;Skiing, water sports, hiking, eating good food and spending time with family and friends;Bachelor's degree in Economics and Leadership at University of South-Eastern Norway (NOR);Sailor Siren Sundby (NOR), 2004 Olympic champion (Europe class), three-time world championship Europe class medallist (two gold, one silver);Her parents who have always supported and believed in her;"""Go all in and never give up."" (Athlete, 12 Jun 2024)";paris-2024;2024
2498;HOEST Line Flem;NOR;Norway;Downhill skiing, cross-country skiing, backcountry skiing, cycling, hikes in the mountains, kiting;Naval Engineering integrated Master's at Norwegian University of Science and Technology (Trondheim, NOR);Sailor Siren Sundby (NOR), 2004 Olympic champion (Europe class), three-time world championship Europe class medallist (two gold, one silver);"Her mother.  ""(She has) always shown me where hard work, dedication and respect and love for the people around you takes you."" (Athlete, 29 May 2024)";"""Work to be a little bit better on something every day."" (Athlete, 29 May 2024)";paris-2024;2024
2499;NAESS Helene;NOR;Norway;Wing foiling, skiing;Bachelor's degree in Marketing Management from BI Norwegian Business School (NOR);"Tennis player Rafael Nadal (ESP), winner of 22 Grand Slam singles titles (as of July 2023), including a record 14 French Open titles; two-time Olympic champion (2008 singles, 2016 doubles)";Her mother who always encouraged her to sail and travelled with her since the start;"""As the competitive and adventurous person I am, I couldn't be happier doing what I love and at the same time travel the world. Sailing is still the same as when I was a kid. I love being on the water, improving and facing new challenges. The good thing with sailing - you learn new things every time you hit the water. Every day is different."" (helenemariesailing.com, 15 Feb 2021)";paris-2024;2024
2512;DOSTAL Josef;CZE;Czechia;Fishing, playing the guitar, chess;Business, Economics at Czech University of Life Sciences (Prague, CZE);Canoe sprint paddler Anders Gustafsson (SWE), four-time Olympian (2000, 2004, 2008, 2012), four-time world championship K1 medallist (2010 gold, three silver), 2017 America's Cup sailor (Artemis Racing).</p><p>Ice hockey player Jaromir Jagr (CZE), two-time Olympic medallist (1998 gold, 2006 bronze), four-time world championship medallist, two-time Stanley Cup champion with Pittsburgh Penguins (1991, 1992);His parents;"""It is necessary not only to live, but to sail"" (olympijskytym.cz)";paris-2024;2024
2513;FUKSA Martin;CZE;Czechia;Cross-country skiing, reading, watching movies, listening to music, travelling;Degree in hotel management;Sprint canoeist Petr Fuksa (CZE), 1996 Olympian, 11-time world championship medallist (two gold, seven silver, two bronze).</p><p>Ice hockey player Jaromir Jagr (CZE), two-time Olympic medallist (1998 gold, 2006 bronze), four-time world championship medallist, two-time Stanley Cup champion with Pittsburgh Penguins (1991, 1992);His family;"""Winners do what losers don't want to do."" (olympijskytym.cz)</p><p>""Work while they are having fun."" (myInfo)";paris-2024;2024
2531;SIEGL Lea;AUT;Austria;Recreational sport but always geared to riding, going out with friends;Studied History, Philosophy, Psychology at the Private University of Education, Diocese of Linz (AUT), to pursue a teaching career;Equestrian eventing rider Harald Siegl (AUT), 2004 Olympian;"Her father, Harald Siegl. ""I owe him so much, starting with training every day since I was a little kid. He was always there when I needed something - no matter what. Not only did he train me, but he also supported me in everything I wanted to achieve. He was always a role model for me. It's definitely the case that without him I wouldn't be where I am now."" (ochsner.com)";"""Do what you like to do and have fun with it."" (ochsner.com)";paris-2024;2024
2572;WASICK Katarzyna;POL;Poland;Climbing in the mountains, reading;Studied Psychology at University of Southern California (Los Angeles, CA, USA);Basketball player Michael Jordan (USA), six-time National Basketball Association (NBA) champion with the Chicago Bulls (1991-93, 1996-98), two-time Olympic gold medallist (1984, 1992);Her family;"""Do what you love and love what you do."" (myInfo)";paris-2024;2024
2611;CID I CENTELLES Aina;ESP;Spain;Dancing, going to the movies;Graduated with a degree in Sports Science from Ohio State University (Columbus, USA), and a Master's in Children's Motor Development from John Moores University (Liverpool, GBR);Athlete Jesse Owens (USA), four-time Olympic champion at Berlin 1936 (100m, 200m, long jump, 4x100m relay);Coach Javier Gonzalez Nieto (ESP);"""";paris-2024;2024
2676;NEVEU Boris;FRA;France;All sports in general, going on holiday;Studied Sport Studies at the National Institute for Sport, Expertise and Performance (Paris, FRA);"Canoe slalom paddler Tony Estanguet (FRA), three-time Olympic C1 champion (2000, 2004, 2012); five-time world champion. President of the Paris 2024 Olympic Games Organising Committee (2018-2024).</p><p>Tennis player Roger Federer (SUI), 20-time Grand Slam singles champion, 2008 Olympic doubles champion, 2012 Olympic singles silver medallist";French slalom canoeist Sylvain Curinier;"""Even when things don't work, I don't make a big deal out of it. I try to learn, and move forward, trying to be even better."" (myInfo)";paris-2024;2024
2715;del TORO CARVAJAL Maylin;CUB;Cuba;Listening to music and reading books;Graduated in 2022 from the Universidad UCCFD Manuel Fajardo (CUB);Judoka Driulis Gonzalez (CUB), four-time Olympic medallist (one gold, one silver, two bronze), five-time Olympian (1992, 1996, 2000, 2004, 2008), seven-time world championship medallist (three gold, two silver, two bronze).</p><p>Judoka Idalys Ortiz (CUB), four-time consecutive Olympic heavyweight medallist from 2008 to 2020 (one gold, two silver, one bronze), eight-time world championship medallist (two gold, two silver, four bronze);"Her parents. ""They always support me and are there for me at all times."" (Athlete, 18 Mar 2024)";"""Here there is no one stronger than me, only God is with me."" (Athlete, 17 Mar 2024)";paris-2024;2024
2718;SILVA MORALES Ivan Felipe;CUB;Cuba;Playing the FIFA video game and watching football. He is a huge fan of Spanish club Real Madrid;Physical Culture and Sports University Manuel Fajardo (CUB);Footballer Cristiano Ronaldo (POR), won five Champions Leagues, seven league titles and five Ballon d’Or awards during his time at Manchester United, Real Madrid and Juventus. Won Euro 2016 with Portugal and is international football’s all-time top scorer and appearance maker.</p><p>Judoka Yordanis Arencibia (CUB), two-time Olympic bronze medallist (2004, 2008), four-time world championship medallist (one silver, three bronze).</p><p>Judoka Keiji Suzuki (JPN), 2004 Olympic champion (+100kg), four-time world championship medallist (two gold, two bronze);"His mother. ""She has always been there every step of the way in this long process."" (Athlete, 18 Mar 2024)";"""Never give up, always be positive."" (Athlete, 18 Mar 2024)";paris-2024;2024
2723;WANG Kuan-Hung;TPE;Chinese Taipei;Shopping, playing basketball;Physical Education at Taiwan Normal University (TPE);Badminton player Tai Tzu-Ying (TPE), 2020 Olympic singles silver medallist, two-time world championship medallist (2021 silver, 2022 bronze);Brother, Li Kuan-Cheng;"""There are no limits in dreams. Don't limit yourself. Look further and your view will be wider."" (livingsports.tw, 10 Aug 2018)";paris-2024;2024
2729;OSIPOVA Svetlana;UZB;Uzbekistan;Spending time with her family;Sport Studies at the National University of Uzbekistan (Tashkent, UZB);"Artistic gymnast Oksana Chusovitina (UZB), eight-time Olympian winning 1992 individual all-around gold (for EUN) and 2008 vault Olympic silver (GER); 11-time world championship medallist (three gold, four silver, four bronze)";Her parents;"""Be grateful for everything you have."" (myInfo)";paris-2024;2024
2743;LIN Yu Ting;TPE;Chinese Taipei;Exercise, watching television, singing;Sport Studies at Chinese Culture University (Taipei, TPE);Boxer Vasiliy Lomachenko (UKR), two-time Olympic champion, two-time world amateur champion, European amateur champion and junior world champion. One of the most successful amateur boxers of all time with a record of 396 wins and just one defeat, he has a 18-3 record in the professional ranks;Coach John Tseng Tzu-Chiang;"""Your dream is as big as your heart."" (running.biji.co, 1 Aug 2020)";paris-2024;2024
2745;WU Shih Yi;TPE;Chinese Taipei;Watching Korean TV dramas, watching movies, eating salmon quiche;Graduated with a Master's degree at National Taiwan Sport University (Taoyuan, TPE);Boxer Pin Meng-Chieh (TPE), veteran of the national team, she competed at several world championships;Coach Lai Ming-Hui;"""Do better than yesterday."" (myInfo)";paris-2024;2024
2749;KAN Chia Wei;TPE;Chinese Taipei;Playing beach volleyball;Since 2021 has been studying for Master's degree at Fu Jen Catholic University (New Taipei, TPE);Boxer Manny Pacquiao (PHI), the first eight-division world champion, winning 12 major world titles across multiple weight classes in a career spanning four decades. His record boasts 62 wins, 39 by knockout, 8 losses and 2 draws. While he never competed in the Olympics, he was the Philippine delegation's flag bearer at the 2008  Olympic Games opening ceremony as the first-ever non-participant to serve as the country's flagbearer. Outside of boxing, he has served as a Senator of the Philippines from 2016 to 2022;His family;"""Outsiders may think boxing is brutal, but we are all used to it. Beating opponents brutally is the real respect."" (chinatimes.com, 29 Aug 2018)";paris-2024;2024
2750;LAI Chu En;TPE;Chinese Taipei;Walking, listening to music, hiking;Taiwan Sport University (Taoyuan, TPE);Boxer Manny Pacquiao (PHI), the first eight-division world champion, winning 12 major world titles across multiple weight classes in a career spanning four decades. His record boasts 62 wins, 39 by knockout, 8 losses and 2 draws. While he never competed in the Olympics, he was the Philippine delegation's flag bearer at the 2008  Olympic Games opening ceremony as the first-ever non-participant to serve as the country's flagbearer. Outside of boxing, he has served as a Senator of the Philippines from 2016 to 2022;His mother and his high school coach;"""Forget what is behind and aim at what is ahead. Go hard."" (Athlete, 28 Jul 2016)";paris-2024;2024
2760;SALCUTAN Tatiana;MDA;Republic of Moldova;Painting, drawing, reading;Studying Sports Administration at University of South Carolina, Columbia (USA).</p><p>Law at Shevchenko Transnistria State University, Tiraspol (MDA);Wrestler Alexander Karelin (RUS), four-time Olympic medallist (three gold, one silver) between 1988-2000, nine-time world champion between 1989-1999;Coaches, Evgheni Carabetchi and Denis Gluhovcenco;"""You need to work hard and set new goals."" (myInfo)";paris-2024;2024
2805;ANASTASSIOU Lucie;FRA;France;Music, rugby, hiking;Coaching at Physical and Sports Education Centre, Bordeaux (FRA);Shooter Anthony Terras (FRA), 2008 Olympic skeet bronze medallist, four-time Olympian (2004, 2008, 2012, 2016), two-time world skeet team champion (2015, 2018).</p><p>Shooter Diana Bacosi (ITA), two-time Olympic skeet medallist (2016 gold, 2020 silver), 11-time world championship medallist (four gold, seven silver) including two world individual titles (2019, 2022);Shooter Anthony Terras (FRA);"""Trust the process."" (Athlete, 26 May 2024)";paris-2024;2024
2806;AUFRERE Romain;FRA;France;Playing video games, flying airplanes;Studies Aviation;Biathlete Martin Fourcade (FRA), seven-time Olympic medallist (five gold, two silver), 28-time world championship medallist (13 gold). 2018 Olympic Games Opening Ceremony flagbearer.</p><p>Judoka Teddy Riner (FRA), five-time Olympic medallist (three gold, two bronze), 11-time world champion (individual), two-time world junior champion (2006, 2008);"His coaches and family. ""They have been there from the beginning and they support me unconditionally."" (Athlete, 12 Jun 2024)";"""To win you have to try. If you don't try, you are sure to lose."" (Athlete, 12 Jun 2024)";paris-2024;2024
2807;BESSAGUET Clement;FRA;France;Climbing, music, travel, films;Studied at the IUT Montpellier-Sete (FRA);"Sprinter Usain Bolt (JAM), eight-time Olympic champion (two in 2008, three in 2012, three in 2016);14-time world championship medallist (11 gold, two silver, one bronze).</p><p>Boxer Mike Tyson (USA), the undisputed world heavyweight champion from 1987 to 1990. Won his first 19 professional fights by knockout, 12 of them in the first round. At 20 years, four months, and 22 days old, he holds the record as the youngest boxer ever to win a heavyweight title";"His family. ""They are my greatest strength."" (Athlete, 12 May 2024)";"""Never give up."" (Athlete, 12 May 2024)";paris-2024;2024
2808;CORMENIER Carole;FRA;France;Cooking, nature;Studied at the National Institute of Sport, Expertise and Performance (INSEP) (Paris, FRA);Shooter Jessica Rossi (ITA), 2012 Olympic trap champion, 14-time world championship medallist (nine gold, two silver, three bronze). </p><p>Shooter Delphine Reau (FRA), two-time Olympic trap medallist (2000 silver, 2012 bronze), three-time world championship medallist (two silver, one bronze).</p><p>Shooter Stephane Clamens (FRA), four-time Olympian (2000, 2004, 2008, 2012), two-time world championship bronze medallist (2005 trap team, 2011 trap individual);"Trap shooter, Stephane Clamens (FRA). ""He helped me get to this level.""";"""Never give up and always believe in your dreams."" (Athlete, 7 May 2024)";paris-2024;2024
2817;LAMOLLE Mathilde;FRA;France;Sport, hiking, sewing, cooking, spending time with friends and family;Studied Sports Science at the University Aix-Marseille (FRA) and has studied for a Master's degree in Training and Mental Preparation Optimisation;Judoka Clarisse Agbegnenou (FRA), three-time Olympic medallist - two 2020 gold (mixed team, half middleweight 63kg) and one 2016 silver (half-middleweight 63kg). </p><p>Shooter Franck Dumoulin (FRA), 2000 Olympic champion (10m air pistol), six-time consecutive Olympian (1992-2012), four-time world championship medallist (two gold, two bronze);Her first coach, Jean Claude Moro;"""Become better each day."" (Athlete, 1 Jul 2024)";paris-2024;2024
2831;DIKEN Meliha;TUR;Türkiye;Art, meditation, listening to music, reading, watching films;Studied at Istanbul Aydin University (TUR);Basketball player Kobe Bryant (USA), five-time National Basketball Association (NBA) champion with the Los Angeles Lakers (2000-02, 2009, 2010),  two-time Olympic champion (2008, 2012). Died in a helicopter crash in 2020;Her father;"""There's always space for improvement."" (Athlete, 22 Jul 2021)";paris-2024;2024
2853;ASTRUP Kim;DEN;Denmark;Golf;Studied Sport Management at Aalborg University (DEN);Golfer Tiger Woods (USA), 15-time major winner, 82-time PGA Tour winner (joint first with Sam Snead), one of the most famous athletes in modern history;Badminton player Lin Dan (CHN), two-time Olympic singles champion (2008, 2012), five-time world champion (2006, 2007, 2009, 2011, 2013), six-time All England champion. Widely regarded as the greatest badminton player of all time;"""Go big or go home."" (Athlete, 2 Jun 2024)";paris-2024;2024
2951;TETZLAFF Sarah;NZL;New Zealand;Reading, watching sports, canyoning, tramping, surfing, skiing, rock climbing, mountain biking, trail running. Most things outdoors;Studies for a Research Master's degree in Environmental Science at Waikato University (NZL). Graduated with a Bachelor's degree (2023) in Environmental Science;"""I have a lot! All female sportswoman from New Zealand: Zoe Hobbs (100m), Eliza McCartney (pole vault), Tori Peeters (javelin), Luuka Jones (canoe slalom), Ellesse Andrews (cycling). And of course, in my sport I am deeply inspired by Ola Miroslaw (POL) (she's an absolute legend!), Emma Hunt (USA), Desak Made Rita Kusuma Dewi (INA), and Natalia and Aleksandra Kalucka (POL)."" (Athlete, 17 Jun 2024)";"Her coach Rob. ""He has helped shape me into the person I am today over the last 6.5 years and has continually created a safe environment for me to learn and grow in. He has taught me to be humble, gracious, feisty, determined, passionate. I have learned so many things that are invaluable to me as both an athlete and a person, and I am endlessly grateful for his mentorship."" (Athlete, 17 Jun 2024)";"""Comparison is the thief of joy."" (Athlete, 17 Jun 2024)</p><p>""Train insane or remain the same."" (Athlete, 17 Jun 2024)";paris-2024;2024
2977;AGBEGNENOU Clarisse;FRA;France;"""My daughter. And I love cooking and eating."" (Athlete, 17 Jun 2024)";Executive coaching HEC;My mother.</p><p>Tennis player Serena Williams (USA), winner of 23 Grand Slam singles titles, 2012 Olympic singles champion, three-time Olympic doubles champion (2000, 2008, 2012);"""Ahcène Goudjil because he was with me when I was very young and he taught me a lot of values about work and how to work intelligently."" (Athlete, 17 Jun 2024)";"""If you want something, go for it and never listen to anyone who says you cannot do it."" (JudoTV, 22 Apr 2024)";paris-2024;2024
2985;NGAYAP HAMBOU Maxime-Gael;FRA;France;Cinema, music, outings with friends and family;Undergraduate degree in Sports Science;"Sprinter Usain Bolt (JAM), eight-time Olympic champion (two in 2008, three in 2012, three in 2016);14-time world championship medallist (11 gold, two silver, one bronze).</p><p>Boxer Muhammad Ali, born Cassius Clay (USA), former undisputed heavyweight champion of the world, 1960 Olympic champion (light heavyweight), nicknamed 'The Greatest' and regarded as one of the most significant sports figures of the 20th century";"Coach Guillaume Etchegaray (FRA). ""He's been following me and supporting me since I started real competition."" (Athlete, 8 May 2024)";"""Pain is just information."" (Athlete, 8 May 2024)</p><p>What you don't do, others do for you."" (Athlete, 8 May 2024)";paris-2024;2024
3019;SUZUKI Satomi;JPN;Japan;Reading comics, playing games, making YouTube videos;Business Information Systems - Yamanashi Gakuin University (Kofu, JPN);Swimmer Rebecca Soni (USA), six-time Olympic medallist (three gold, three silver) in two Olympic Games (2008, 2012), six-time world championship medallist (four gold, one silver, one bronze);Swimmer Rie Kaneto (JPN), 2016 Olympic 200m breaststroke champion;"""Be strong in the pool and don't forget your personality."" (fina-magazine, 31 Mar 2021)";paris-2024;2024
3023;OHASHI Yui;JPN;Japan;Listening to music;Graduated in 2018 with a degree in Tourism at Toyo University (Tokyo, JPN);Swimmer Ryosuke Irie (JPN), three-time 2012 Olympic medallist (two silver, one bronze), four-time world championship medallist (two silver, two bronze);Coaches, Norimasa Hirai and Naofumi Okuta;"""I believe that I can do it.""";paris-2024;2024
3024;AOKI Reona;JPN;Japan;Watching films;Studied Business Management at Toyo University (Tokyo, JPN);Swimmer Rie Kaneto (JPN), 2016 Olympic champion (200m breaststroke), 2014 World Championships (SC) silver medallist;Coach Norimasa Hirai;"""Small steps lead to big achievements."" (myInfo)";paris-2024;2024
3028;MATSUMOTO Katsuhiro;JPN;Japan;Watching movies;Economics and Political Studies at Meiji University (Tokyo, JPN);Swimmer Yuki Kobori (JPN), 2016 Olympic bronze medallist medallist, 2016 World Championships (SC) silver medallist, both in 4x200m freestyle relay;Coach Yoji Suzuki (JPN);"""Your efforts don't always pay off, but keep working hard until you get the rewards."" (myInfo)";paris-2024;2024
3055;HIGA Moe;JPN;Japan;Shopping;Studies at Shitennoji High School (Osaka, JPN);Artistic swimmer Yukiko Inui (JPN), two-time 2016 Olympic bronze medallist (duet, team), 12-time world championship medallist (four gold, eight bronze);Teammate Yukiko Inui (JPN);"""Keep going until you can't."" (hangzhou2022.com.cn)";paris-2024;2024
3063;HANEDA Takuya;JPN;Japan;Having massages, playing the guitar;Studied for a Master's degree in Physical Education at Comenius University (Bratislava, SVK);"Canoe slalom paddler Michal Martikan (SVK), five-time Olympic medallist (two gold, two silver, one bronze), five-time Olympian (1996, 2000, 2004, 2008, 2012); 23-time world championship medallist (15 gold, three silver, five bronze)";His father;"""Through my style of canoeing, I want to show people the excitement of canoe slalom and the passion and dedication I've put into it. The secret to canoeing is using the flow of the water to see how fast you can move the canoe down the course. If you train every day, then you will be able to effectively grasp the flow of the water. There are cycles in the water. It bounces off itself, it hits the walls; every instant is different. It is important to develop the ability to read, see and feel those patterns."" (olympics.com, 6 Mar 2020)";paris-2024;2024
3076;BUHL Phili;GER;Germany;Sailing Moths, cycling, hiking in the mountains, outdoor sports, tennis;International Management at Ansbach University of Applied Sciences (GER);Alpine skier Aksel Lund Svindal (NOR), four-time Olympic medallist (two gold, one silver, one bronze), nine-time world championship medallist (five gold, two silver, two bronze).</p><p>Sailor Robert Scheidt (BRA), five-time Olympic medallist (two gold, two silver, one bronze) over seven consecutive Olympic appearances (1996-2020).</p><p>Sailor Tom Slingsby (AUS), 2012 Olympic champion (ILCA 7 class), 2013 America's Cup winning helmsman;His father;"""Quality before quantity."" (philipp-buhl.de)";paris-2024;2024
3079;MARKFORT Anna;GER;Germany;Singing, spending time with family, her partner and friends, racing bikes, spending time in nature, sailing on her parents' boat;Pedagogy and English at Christian-Albrechts-Universität Kiel (GER);Alpine skier Lindsey Vonn (USA), three-time Olympic medallist (one gold, two bronze), four-time Olympian (2002, 2006, 2010, 2018), eight-time world championship medallist (two gold, three silver, three bronze).<br> <br>Beach volleyball player Laura Ludwig (GER), 2016 Olympic champion, four-time Olympian (2008, 2012, 2016, 2020), 2017 world champion.</p><p>Sailor Mathew Belcher (AUS) three-time Olympic medallist (two gold, one silver), 11-time world championship medals (10 gold, one bronze);Her sister Greta who taught her  how to sail. </p><p>Her grandfather Dieter who enrolled her in her first sailing course and explained sailing from a physical perspective. </p><p>Her youth coach Friedrich Gebert;"""Dream big. Everything is possible."" (Athlete, 7 Jul 2024)";paris-2024;2024
3170;RISHONY Shira;ISR;Israel;Going to the beach, watching Netflix;Bachelor's degree in Economy and Management at Ruppin Academic Centre, Kfar Monash (ISR);"Sprinter Allyson Felix (USA), 11-time Olympic medallist (seven gold, three silver, one bronze); 20-time world championship medallist (14 gold, three silver, three bronze).</p><p>Tennis player Serena Williams (USA), winner of 23 Grand Slam singles titles, 2012 Olympic singles champion, three-time Olympic doubles champion (2000, 2008, 2012)";"Her grandmother and her parents. ""They will do everything for me."" (Athlete, 1 May 2024)";"""Believe in yourself."" (Athlete, 1 May 2024)";paris-2024;2024
3183;MUKI Sagi;ISR;Israel;Soccer, tennis, running;Management degree at Natanya Academy College (ISR);Judoka Toshihiko Koga (JPN), two-time Olympic medallist (1992 gold, 1996 silver), four-time world championship medallist (three gold, one bronze);His father;"""Give everything."" (Athlete, 2 May 2024)";paris-2024;2024
3185;PALTCHIK Peter;ISR;Israel;Enjoying family time on the beach or in nature;Yigal Alon High School (ISR);Footballer Cristiano Ronaldo (POR), won five Champions Leagues, seven league titles and five Ballon d’Or awards during his time at Manchester United, Real Madrid and Juventus. Won Euro 2016 with Portugal and is international football’s all-time top scorer and appearance maker;"His grandfather. ""I was named after him and since my birth he took over my entire childhood and judo career until today."" (Athlete, 15 Jun 2024)";"""Faith goes beyond logic."" (Athlete, 15 Jun 2024)";paris-2024;2024
3187;OLSEN Laerke;DEN;Denmark;Drinking coffee with friends;Graduated in 2024 with a Bachelor's degree in Economics and Business Administration from Copenhagen Business School (Frederiksberg, DEN);Judoka Sabrina Filzmoser (AUT), four-time Olympian (2008, 2012, 2016, 2020), two-time world championship -57kg bronze medallist (2005, 2010), nine-time European championship -57kg medallist (two gold, two silver, five bronze);"""My father, because he has always shown me that you can achieve anything as long as you put in the work and because he inspires me and helps me have a more positive outlook on everything in life."" (Athlete, 5 Jul 2024)";"""Luck comes to those who work for it."" (Athlete, 5 Jul 2024)";paris-2024;2024
3223;SCHOEMAN Henri;RSA;South Africa;Spending time with his wife, playing with his pet dogs and rabbits, watching television;Marketing at Varsity College (RSA);"Triathlete Francisco Javier Gomez Noya (ESP), 2012 Olympic silver medallist, 11-time world championship medallist (five gold, four silver, two bronze).</p><p>Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze)";His wife Franzel;"""Don't sweat the small stuff."" (myInfo)";paris-2024;2024
3236;CHO Yeongjae;KOR;Korea;Reading;Received a Bachelor's degree in Physical Education in 2022 from Korea National Sport University (Seoul, KOR);Shooter Kim Seo-Jun (KOR), 2016 Olympian, five-time world championship medallist (one gold, one silver, three bronze).</p><p>Shooter Lee Dae-Myung (KOR), two-time Olympian (2008, 2016), six-time world championship medallist (two gold, one silver, three bronze), two-time Asian Games medallist (2010 gold, 2018 silver);"Korean shooters Lee Dae-Myung and Kim Seo-Jun. ""They are seniors who showed me the path I should take when I joined my first professional team."" (Athlete, 29 Jun 2024)";"""I do what I can and leave the rest up to God."" (Athlete, 29 Jun 2024)";paris-2024;2024
3277;CHETCUTI Gianluca;MLT;Malta;DIY, metalwork, automotive, crafts, reading;Graduated in 2019 with a Bachelor's degree in Engineering from the University of Malta (MLT);Shooter William Chetcuti (MLT), four-time Olympian (2004, 2008, 2012, 2016), two-time Commonwealth Games double trap bronze medallist (2002, 2006).</p><p>Shooter Michael Diamond (AUS), two-time Olympic trap champion (1996, 2000), six-time consecutive Olympian (1992-2012), 15-time world championship medallist (seven gold, eight silver), eight-time Commonwealth Games medallist (five gold, three silver).</p><p>Shooter Mark Russell (AUS), two-time Olympic double trap medallist (1996 gold, 2000 silver), six-time Commonwealth Games medallist (one gold, three silver, two bronze).</p><p>Shooter Mauro De Filippis (ITA), 2020 Olympian, five-time world championship medallist (two gold, one silver, two bronze), nine-time European championship medallist (four gold, two silver, three bronze).</p><p>Bodybuilder/actor Arnold Schwarzenegger (AUT/USA), seven-time Mr. Olympia champion (1970–75, 1980), film actor, Governor of the state of California (USA) from 2003-2011;"His father. ""I want to make him proud."" (Athlete, 18 Jun 2024)";"""Wahda-Wahda"" (One by one in Maltese) (Athlete, 18 Jun 2024)";paris-2024;2024
3294;CENTENO NIEVES Edilio Francisco;EOR;EOR;Watching and playing soccer, playing dominoes, walking, travelling;Athlete;"Footballer Lionel Messi (ARG), FIFA World Cup winner (2022), Copa America winner (2021), seven time Ballon d'Or winner. Lifted every major club prize in the game with Barcelona and won gold at the 2008 Olympic Games in Beijing. </p><p>""For his humility, for his technical quality, for his good will and for his coherence. I adore him.""  (Athlete, 18 May 2024)";"His mother. ""For her bravery, for her gallantry, for her advice, for her warrior spirit. She is my motivator."" (Athlete, 18 May 2024)";"""Dreams never die."" (Athlete, 18 May 2024)</p><p>""A better world cannot be built by indifferent people."" (Athlete, 18 May 2024)";paris-2024;2024
3304;BARBARI ZHARFI Mahboubeh;EOR;EOR;"""Riding my bike. Playing with my daughter and listening to music."" (Athlete, 11 May 2024)";University of Law (IRI);Judoka Teddy Riner (FRA), five-time Olympic medallist (three gold, two bronze), 11-time world champion (individual), two-time world junior champion (2006, 2008).</p><p>Judoka Romane Dicko (FRA), two-time 2020 Olympic medallist (mixed team gold, +78kg bronze), four-time world championship medallist (one gold, two silver, one bronze);"""My mother and my family always came first, then my daughter, who now regularly gives me motivation and energy."" (Athlete, 11 May 2024)";"""No goal is too high, no dream too big, only courage counts in sport."" (Athlete, 11 May 2024)";paris-2024;2024
3308;DAHOUK Muna;EOR;EOR;Reading, swimming, fencing;Graduated from a commercial and banking institute of Syria. Has been studying a sport course since arriving in the Netherlands;"Judoka Roy Meyer (NED), 2016 Olympian, three-time world championship bronze medallist (2019, 2021, 2023), two-time European championships +100kg bronze medallist (2017, 2022).</p><p>""Roy reminds me of my father with his fun and beautiful spirit."" (Athlete, 4 May 2024)";"""My father is and still is my role model and my hero. God bless his soul because I started judo with him and I grew up in this sport because of him. Unfortunately I lost my dad in Syria in 2015 and because of this loss I am still broken."" (Athlete, 4 May 2024)";"""Don’t give up and keep going to achieve your goals and dreams and one day you will get what you fought for."" (Athlete, 4 May 2024)";paris-2024;2024
3342;BACSKAY Csenge Maria;HUN;Hungary;Drawing and being creative;Studying Business Administration at University of Georgia (Athens, GA, USA);"Artistic gymnast Simone Biles (USA), seven-time Olympic medallist (four gold, one silver, two bronze); 30-time world championship medallist (23 gold, four silver, three bronze)";Her mother;"""Believe in yourself."" (intlgymnast.com, 14 Apr 2024)";paris-2024;2024
